[2026-08-22 10:01:28,765] 15 root - INFO - Initiate the data ingestion
[2026-08-22 10:20:18,778] 15 root - INFO - Initiate the data ingestion
[2026-08-22 10:20:31,014] 87 root - INFO - Performed train test split on the dataframe
[2026-08-22 10:20:31,018] 89 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-08-22 10:20:31,020] 97 root - INFO - Exporting train and test file path
[2026-08-22 10:20:31,151] 105 root - INFO - Export train and test file path.
[2026-08-22 10:20:31,151] 17 root - INFO - Data initiation completed
[2026-08-22 10:26:21,388] 15 root - INFO - Initiate the data ingestion
[2026-08-22 10:26:34,048] 87 root - INFO - Performed train test split on the dataframe
[2026-08-22 10:26:34,048] 89 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-08-22 10:26:34,048] 97 root - INFO - Exporting train and test file path
[2026-08-22 10:26:34,172] 105 root - INFO - Export train and test file path.
[2026-08-22 10:26:34,172] 17 root - INFO - Data initiation completed
[2026-08-22 10:34:16,008] 15 root - INFO - Initiate the data ingestion
[2026-08-22 10:34:52,009] 87 root - INFO - Performed train test split on the dataframe
[2026-08-22 10:34:52,009] 89 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-08-22 10:34:52,011] 97 root - INFO - Exporting train and test file path
[2026-08-22 10:34:52,141] 105 root - INFO - Export train and test file path.
[2026-08-22 10:34:52,141] 17 root - INFO - Data initiation completed
[2026-08-22 10:34:52,145] 21 root - INFO - Initiate the data validation
[2026-08-22 10:34:52,319] 30 root - INFO - Required number of columns:430
[2026-08-22 10:34:52,321] 31 root - INFO - Data frame has columns:31
[2026-08-22 10:34:52,321] 30 root - INFO - Required number of columns:430
[2026-08-22 10:34:52,321] 31 root - INFO - Data frame has columns:31
[2026-08-22 10:40:10,035] 15 root - INFO - Initiate the data ingestion
[2026-08-22 10:41:47,516] 87 root - INFO - Performed train test split on the dataframe
[2026-08-22 10:41:47,516] 89 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-08-22 10:41:47,516] 97 root - INFO - Exporting train and test file path
[2026-08-22 10:41:47,641] 105 root - INFO - Export train and test file path.
[2026-08-22 10:41:47,643] 17 root - INFO - Data initiation completed
[2026-08-22 10:41:47,645] 21 root - INFO - Initiate the data validation
[2026-08-22 10:41:47,826] 30 root - INFO - Required number of columns:430
[2026-08-22 10:41:47,826] 31 root - INFO - Data frame has columns:31
[2026-08-22 10:41:47,826] 30 root - INFO - Required number of columns:430
[2026-08-22 10:41:47,826] 31 root - INFO - Data frame has columns:31
[2026-08-22 10:41:48,152] 23 root - INFO - data validation completed
[2026-08-22 10:51:40,292] 15 root - INFO - Initiate the data ingestion
